name,timestamp,latitude,longitude
102 DFNA,2026-05-04T16:12:45.000Z,49.005642,-123.833191
201 DFNA,2021-07-14T13:48:43.800Z,49.858291,-125.114759
202 DFNA - SPARE,2022-01-27T23:44:11.027Z,49.220303,-122.646958
204h DFNA,2022-09-07T22:35:51.027Z,49.247863,-122.761215
206 DFNA,2026-05-04T15:17:34.457Z,49.107578,-123.892982
209 DFNA,2026-05-04T15:51:36.933Z,49.040394,-123.865974
210h DFNA,2022-08-08T12:17:34.340Z,49.251457,-122.861649
211 DFNA Alert Bay,2022-02-05T21:42:07.267Z,49.234818,-123.154587
212 DFNA (Gold River) @ repair shop (Transmission),2021-03-12T22:42:06.707Z,49.667816,-124.981018
213 DFNA,2021-12-26T00:06:43.180Z,49.207145,-122.574543
214 DFNA,2026-04-23T23:51:36.000Z,49.107632,-123.893311
217 DFNA,2021-03-18T18:22:06.027Z,48.943771,-125.552589
219 DFNA,2026-05-04T01:51:58.567Z,49.040234,-123.866127
220 DFNA,2024-05-01T03:02:17.063Z,49.040382,-123.865936
229h DFNA,2026-05-04T16:12:50.000Z,49.018047,-123.858124
233 DFNA,2022-06-01T12:02:07.007Z,49.230069,-122.817015
47 DFNA,2020-09-30T22:41:41.633Z,49.262131,-123.258087
501 DFNA,2026-05-04T00:55:23.427Z,49.040241,-123.866203
502 DFNA,2026-04-25T18:28:22.000Z,49.16571,-123.979393
502 DFNA,2024-08-19T21:46:40.000Z,49.005646,-123.833443
503 DFNA,2026-04-13T18:44:00.000Z,49.107536,-123.893349
504 DFNA,2024-04-13T21:31:02.653Z,49.205559,-123.038109
505 DFNA,2026-05-04T01:15:57.483Z,49.040455,-123.865829
506 DFNA,2021-06-28T01:53:52.110Z,49.25555,-122.915482
507 DFNA,2025-12-08T02:25:26.000Z,49.206757,-123.978294
508 DFNA,2026-05-04T02:30:01.137Z,49.040596,-123.865448
509 DFNA,2021-09-28T14:27:12.300Z,49.137263,-123.018926
510 DFNA,2026-04-26T01:28:04.000Z,49.040543,-123.86515
511 DFNA,2026-05-03T03:51:30.510Z,49.040432,-123.866661
512 DFNA,2026-05-04T10:20:09.307Z,49.04031,-123.866699
513 DFNA,2026-05-04T03:12:15.763Z,49.040508,-123.865433
514 DFNA,2023-02-11T22:20:35.537Z,49.206658,-123.1391
515 DFNA,2026-05-01T21:16:44.230Z,49.040466,-123.866531
516 DFNA,2022-03-24T19:36:25.023Z,49.142913,-123.030186
518 DFNA ,2024-05-25T16:48:36.013Z,49.136873,-123.020187
519 DFNA,2021-04-21T00:56:43.497Z,49.25504,-122.915408
52 DFNA,2021-04-17T18:58:55.637Z,49.289666,-123.141108
521 DFNA,2026-05-04T02:49:47.150Z,49.040188,-123.866714
522 DFNA,2026-05-02T03:57:44.770Z,49.040264,-123.865776
